User Id,Event Dt,Revenue
188246423999,2019-05-01 23:09:52,4.99
174361394180,2019-05-01 12:24:04,4.99
529610067795,2019-05-01 11:34:04,4.99
319939546352,2019-05-01 15:34:40,4.99
366000285810,2019-05-01 13:59:51,4.99
129100331057,2019-05-01 01:56:28,4.99
626807144131,2019-05-01 02:39:21,4.99
914062168985,2019-05-01 02:02:18,4.99
769669137453,2019-05-01 03:39:47,4.99
434198630691,2019-05-01 18:16:50,5.99
846285993293,2019-05-01 13:14:07,4.99
064474110919,2019-05-01 02:21:45,4.99
068752468250,2019-05-01 20:25:33,4.99
946239768828,2019-05-01 21:11:24,4.99
872148430066,2019-05-01 09:18:02,4.99
029144643737,2019-05-01 09:56:07,4.99
784328289169,2019-05-01 16:52:30,4.99
645547903112,2019-05-01 05:54:57,4.99
059058997486,2019-05-01 11:00:21,4.99
784885401335,2019-05-02 06:30:36,4.99
778027854258,2019-05-02 20:56:43,4.99
434198630691,2019-05-02 21:01:37,4.99
353725123625,2019-05-02 13:53:48,4.99
784328289169,2019-05-02 17:06:01,4.99
109843833662,2019-05-02 12:10:22,4.99
678936610986,2019-05-02 00:22:30,4.99
653462760786,2019-05-02 09:01:03,4.99
240702200943,2019-05-02 14:04:34,4.99
071310958837,2019-05-02 00:43:47,4.99
739141354592,2019-05-02 13:30:21,4.99
445724754149,2019-05-02 21:14:39,4.99
692072441061,2019-05-02 09:37:58,4.99
735968289275,2019-05-02 14:21:40,4.99
220449921856,2019-05-02 00:43:39,4.99
896941673419,2019-05-02 00:52:26,4.99
878405311486,2019-05-02 23:47:58,4.99
462687500190,2019-05-02 01:32:08,4.99
603193782695,2019-05-02 07:41:51,4.99
693617187776,2019-05-02 07:17:02,4.99
586359118318,2019-05-02 17:17:36,4.99
648972875590,2019-05-03 00:50:22,4.99
174361394180,2019-05-03 09:42:08,4.99
301452416860,2019-05-03 22:49:28,4.99
626807144131,2019-05-03 16:05:36,5.99
778027854258,2019-05-03 18:22:59,4.99
064474110919,2019-05-03 07:29:11,4.99
353725123625,2019-05-03 03:54:51,4.99
872148430066,2019-05-03 06:00:25,4.99
763901358434,2019-05-03 21:06:46,4.99
959109335666,2019-05-03 21:13:45,4.99
445724754149,2019-05-03 20:10:04,4.99
220449921856,2019-05-03 09:40:02,4.99
896941673419,2019-05-03 04:49:44,4.99
586435406988,2019-05-03 20:27:36,4.99
753476669480,2019-05-03 10:35:36,4.99
